input,block1,block2,block3,kpack,matrix_instr_nonkdim,num_stages,num_warps,waves_per_eu,timing
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,16,2,4,0,0.16888999938964844
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,0,2,8,0,0.11452999711036682
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,64,2,16,2,8,0,0.1611189991235733
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,0,2,8,0,0.15887600183486938
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,16,2,8,0,0.22453300654888153
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,0,2,4,0,0.17926600575447083
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,32,128,2,16,2,4,0,0.226174995303154
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,0,2,4,0,0.18831899762153625
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,16,2,4,0,0.23763300478458405
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,0,2,8,0,0.1714940071105957
[('cuda' 'torch.bfloat16' 512 7456 1 512 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],128,64,128,2,16,2,8,0,0.2501699924468994
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,16,32,2,0,2,2,0,0.13263599574565887
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,16,32,2,16,2,2,0,0.11589200049638748
[('cuda' 'torch.bfloat16' 512 7456 7488 1 0) ('cuda' 'torch.bfloat16' 7456 2048 2048 1 0)],32,128,32,2,0,2,4,0,0.21519899368286133
