kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",26.08,XBLOCK=64 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",219.806,XBLOCK=32 YBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 1048576},6.76,XBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 131072},6.6,XBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 16384},6.56,XBLOCK=4096 num_warps=4
triton_poi_fused_add_relu_0,{'x': 16777216},30.241,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_relu_0,{'x': 2097152},7.0,XBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 262144},6.64,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_relu_0,{'x': 32768},6.52,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_relu_0,{'x': 4096},6.36,XBLOCK=128 num_warps=2
triton_poi_fused_add_relu_0,{'x': 4194304},9.8,XBLOCK=4096 num_warps=4
triton_poi_fused_add_relu_0,{'x': 512},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_add_relu_0,{'x': 65536},6.6,XBLOCK=4096 num_warps=4
triton_poi_fused_add_relu_0,{'x': 67108864},136.884,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_add_relu_0,{'x': 8388608},14.92,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 1048576},6.52,XBLOCK=512 num_warps=4
triton_poi_fused_gelu_0,{'x': 131072},6.76,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 16384},6.561,XBLOCK=128 num_warps=2
triton_poi_fused_gelu_0,{'x': 16777216},22.76,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 2097152},7.08,XBLOCK=512 num_warps=4
triton_poi_fused_gelu_0,{'x': 262144},6.4,XBLOCK=512 num_warps=4
triton_poi_fused_gelu_0,{'x': 32768},6.601,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 4096},6.521,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 4194304},9.04,XBLOCK=1024 num_warps=4
triton_poi_fused_gelu_0,{'x': 512},6.44,XBLOCK=256 num_warps=1
triton_poi_fused_gelu_0,{'x': 65536},6.48,XBLOCK=512 num_warps=2
triton_poi_fused_gelu_0,{'x': 67108864},89.363,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_gelu_0,{'x': 8388608},12.72,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 1048576},6.6,XBLOCK=512 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 131072},6.64,XBLOCK=512 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 16384},6.32,XBLOCK=4096 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 16777216},21.441,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 2097152},6.761,XBLOCK=512 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 262144},6.68,XBLOCK=4096 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 32768},6.56,XBLOCK=256 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 4096},6.44,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 4194304},7.72,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 512},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 65536},6.52,XBLOCK=512 num_warps=2
triton_poi_fused_leaky_relu_0,{'x': 67108864},91.163,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 8388608},10.8,XBLOCK=4096 num_warps=4
triton_poi_fused_mul_0,{'x': 1048576},6.76,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 131072},6.52,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_mul_0,{'x': 16384},6.72,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_mul_0,{'x': 16777216},30.001,XBLOCK=2048 waves_per_eu=1 num_warps=8
triton_poi_fused_mul_0,{'x': 2097152},6.88,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 262144},6.4,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_0,{'x': 32768},6.64,XBLOCK=4096 num_warps=4
triton_poi_fused_mul_0,{'x': 4096},6.52,XBLOCK=128 num_warps=2
triton_poi_fused_mul_0,{'x': 4194304},9.52,XBLOCK=8192 waves_per_eu=2 num_warps=4
triton_poi_fused_mul_0,{'x': 512},6.64,XBLOCK=256 num_warps=1
triton_poi_fused_mul_0,{'x': 65536},6.641,XBLOCK=256 num_warps=4
triton_poi_fused_mul_0,{'x': 67108864},136.244,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 8388608},14.6,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 1048576},6.76,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 131072},6.72,XBLOCK=8192 waves_per_eu=2 num_warps=4
