kernel_name,size_hints,fastest_us,config
triton_poi_fused_leaky_relu_0,{'x': 2097152},20.481,XBLOCK=256 num_warps=2
triton_poi_fused_leaky_relu_0,{'x': 262144},20.04,XBLOCK=512 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 32768},19.961,XBLOCK=2048 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 4096},19.84,XBLOCK=2048 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 4194304},22.2,XBLOCK=1024 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 512},19.88,XBLOCK=128 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 65536},20.08,XBLOCK=1024 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 67108864},107.643,XBLOCK=4096 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 8388608},25.48,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_0,{'x': 1048576},20.24,XBLOCK=1024 num_warps=8
triton_poi_fused_mul_0,{'x': 131072},20.04,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 16384},20.08,XBLOCK=512 num_warps=8
triton_poi_fused_mul_0,{'x': 16777216},44.602,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_0,{'x': 2097152},20.441,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 262144},20.04,XBLOCK=4096 num_warps=8
triton_poi_fused_mul_0,{'x': 32768},20.12,XBLOCK=256 num_warps=2
triton_poi_fused_mul_0,{'x': 4096},19.881,XBLOCK=512 num_warps=8
triton_poi_fused_mul_0,{'x': 4194304},24.801,XBLOCK=4096 num_warps=8
triton_poi_fused_mul_0,{'x': 512},19.76,XBLOCK=256 num_warps=2
triton_poi_fused_mul_0,{'x': 65536},19.961,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 67108864},148.404,XBLOCK=128 num_warps=1
triton_poi_fused_mul_0,{'x': 8388608},29.561,XBLOCK=2048 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 1048576},20.201,XBLOCK=256 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 131072},19.881,XBLOCK=128 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 16384},20.241,XBLOCK=512 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 16777216},35.881,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 2097152},20.64,XBLOCK=256 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 262144},20.12,XBLOCK=256 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 32768},19.76,XBLOCK=256 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 4096},19.8,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 4194304},21.68,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 512},20.001,XBLOCK=512 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 65536},20.08,XBLOCK=512 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 67108864},107.203,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 8388608},26.041,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 1048576},20.121,XBLOCK=256 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 131072},20.001,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 16384},19.801,XBLOCK=1024 num_warps=2
triton_poi_fused_relu_sigmoid_0,{'x': 16777216},36.361,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 2097152},20.52,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 262144},20.041,XBLOCK=512 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 32768},20.0,XBLOCK=2048 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 4096},19.88,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 4194304},22.721,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 512},19.72,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 65536},20.04,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 67108864},106.003,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 8388608},27.321,XBLOCK=2048 num_warps=4
triton_poi_fused_silu_0,{'x': 1048576},20.28,XBLOCK=1024 num_warps=8
triton_poi_fused_silu_0,{'x': 131072},20.161,XBLOCK=512 num_warps=8
triton_poi_fused_silu_0,{'x': 16384},20.121,XBLOCK=2048 num_warps=4
triton_poi_fused_silu_0,{'x': 16777216},36.681,XBLOCK=2048 num_warps=8
triton_poi_fused_silu_0,{'x': 2097152},20.24,XBLOCK=512 num_warps=4
triton_poi_fused_silu_0,{'x': 262144},20.041,XBLOCK=64 num_warps=1
triton_poi_fused_silu_0,{'x': 32768},20.12,XBLOCK=128 num_warps=2
triton_poi_fused_silu_0,{'x': 4096},19.601,XBLOCK=256 num_warps=2
triton_poi_fused_silu_0,{'x': 4194304},22.881,XBLOCK=2048 num_warps=8
triton_poi_fused_silu_0,{'x': 512},19.921,XBLOCK=512 num_warps=8
triton_poi_fused_silu_0,{'x': 65536},20.001,XBLOCK=1024 num_warps=8
triton_poi_fused_silu_0,{'x': 67108864},107.083,XBLOCK=4096 num_warps=8
triton_poi_fused_silu_0,{'x': 8388608},26.921,XBLOCK=2048 num_warps=8
triton_poi_fused_tanh_0,{'x': 1048576},20.28,XBLOCK=512 num_warps=8
triton_poi_fused_tanh_0,{'x': 131072},20.041,XBLOCK=64 num_warps=1
triton_poi_fused_tanh_0,{'x': 16384},20.0,XBLOCK=256 num_warps=1
triton_poi_fused_tanh_0,{'x': 16777216},36.921,XBLOCK=2048 num_warps=8
triton_poi_fused_tanh_0,{'x': 2097152},20.801,XBLOCK=1024 num_warps=8
triton_poi_fused_tanh_0,{'x': 262144},19.721,XBLOCK=4096 num_warps=8
triton_poi_fused_tanh_0,{'x': 32768},20.04,XBLOCK=256 num_warps=4
triton_poi_fused_tanh_0,{'x': 4096},20.001,XBLOCK=64 num_warps=1
triton_poi_fused_tanh_0,{'x': 4194304},23.641,XBLOCK=2048 num_warps=8
triton_poi_fused_tanh_0,{'x': 512},19.921,XBLOCK=512 num_warps=2
triton_poi_fused_tanh_0,{'x': 65536},20.121,XBLOCK=256 num_warps=2
triton_poi_fused_tanh_0,{'x': 67108864},107.123,XBLOCK=2048 num_warps=8
triton_poi_fused_tanh_0,{'x': 8388608},26.641,XBLOCK=4096 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 128, 'r0_': 8192}",61.842,XBLOCK=2 R0_BLOCK=2048 num_warps=4
